FileName,Ax,Ay,Bx,By,darker,weight
01_2021011409272139,466,114,473,66,A,0.48
01_2021011409272139,197,130,194,183,E,0.46
01_2021011409272139,194,183,153,140,E,0.42
01_2021011409272139,197,130,153,140,A,0.06
01_2021011409272139,482,450,438,402,E,0.96
01_2021011409272139,424,91,365,86,E,0.96
01_2021011409272139,466,114,424,91,A,0.64
01_2021011409272139,473,66,424,91,E,0.88
01_2021011409272139,365,86,329,22,E,0.56
01_2021011409272139,453,572,481,535,E,1.0
01_2021011409272139,447,494,453,572,E,1.0
01_2021011409272139,408,564,453,572,A,0.6
01_2021011409272139,447,494,408,564,B,0.56
01_2021011409272139,447,494,481,535,E,0.96
01_2021011409272139,447,494,482,450,E,1.0
01_2021011409272139,336,540,408,564,E,0.92
01_2021011409272139,283,542,336,540,E,0.92
01_2021011409272139,283,542,234,552,E,0.88
01_2021011409272139,380,492,447,494,A,0.6
01_2021011409272139,380,492,408,564,E,0.92
01_2021011409272139,336,540,380,492,E,0.92
01_2021011409272139,380,492,351,452,E,0.92
01_2021011409272139,298,187,333,229,A,0.48
01_2021011409272139,374,36,329,22,E,0.6
01_2021011409272139,365,86,374,36,E,0.96
01_2021011409272139,424,91,374,36,E,0.96
01_2021011409272139,171,95,153,140,E,0.82
01_2021011409272139,197,130,171,95,E,0.26
01_2021011409272139,171,95,133,60,E,0.08
01_2021011409272139,380,417,438,402,A,1.0
01_2021011409272139,380,417,351,452,E,0.96
01_2021011409272139,380,417,340,375,A,0.7
01_2021011409272139,351,452,340,375,A,0.7
01_2021011409272139,152,550,109,541,A,0.44
01_2021011409272139,234,552,192,573,A,0.22
01_2021011409272139,244,307,239,348,E,0.64
01_2021011409272139,283,542,305,481,E,0.96
01_2021011409272139,336,540,305,481,E,0.96
01_2021011409272139,380,492,305,481,E,0.96
01_2021011409272139,305,481,351,452,E,0.96
01_2021011409272139,239,437,219,388,A,0.78
01_2021011409272139,239,348,219,388,A,0.58
01_2021011409272139,171,95,174,52,E,0.78
01_2021011409272139,133,60,174,52,A,0.68
01_2021011409272139,305,481,305,431,A,0.7
01_2021011409272139,305,481,239,437,A,0.6
01_2021011409272139,305,431,239,437,A,0.48
01_2021011409272139,305,431,340,375,A,0.38
01_2021011409272139,351,452,305,431,A,0.48
01_2021011409272139,244,307,218,257,A,-0.0
01_2021011409272139,305,481,232,494,E,0.82
01_2021011409272139,232,494,239,437,A,0.58
01_2021011409272139,283,542,232,494,E,0.82
01_2021011409272139,232,494,234,552,E,0.92
01_2021011409272139,340,375,274,394,A,0.52
01_2021011409272139,305,431,274,394,A,0.74
01_2021011409272139,239,437,274,394,E,0.52
01_2021011409272139,274,394,219,388,A,0.78
01_2021011409272139,239,348,274,394,E,0.32
01_2021011409272760,420,569,475,558,A,0.96
01_2021011409272760,439,467,388,484,B,1.0
01_2021011409272760,439,467,484,505,E,1.0
01_2021011409272760,484,505,475,558,E,1.0
01_2021011409272760,397,439,388,484,E,1.0
01_2021011409272760,349,429,388,484,E,1.0
01_2021011409272760,349,429,397,439,E,1.0
01_2021011409272760,397,439,439,467,A,1.0
01_2021011409272760,228,586,277,574,E,0.96
01_2021011409272760,231,523,228,586,E,0.96
01_2021011409272760,231,523,277,574,E,0.96
01_2021011409272760,296,502,277,574,E,0.96
01_2021011409272760,231,523,296,502,E,0.96
01_2021011409272760,277,574,343,565,E,0.96
01_2021011409272760,296,502,343,565,E,0.96
01_2021011409272760,341,504,388,484,E,1.0
01_2021011409272760,349,429,341,504,E,1.0
01_2021011409272760,343,565,341,504,E,1.0
01_2021011409272760,296,502,341,504,E,1.0
01_2021011409272760,351,386,331,321,A,0.92
01_2021011409272760,331,321,374,346,B,0.92
01_2021011409272760,351,386,374,346,A,0.76
01_2021011409272760,283,340,331,321,E,0.92
01_2021011409272760,283,340,304,273,B,0.92
01_2021011409272760,331,321,304,273,B,0.92
01_2021011409272760,331,321,399,299,B,0.92
01_2021011409272760,374,346,399,299,E,0.92
01_2021011409272760,288,458,341,504,E,0.92
01_2021011409272760,288,458,349,429,E,0.96
01_2021011409272760,288,458,296,502,E,1.0
01_2021011409272760,309,395,331,321,A,0.96
01_2021011409272760,283,340,309,395,B,0.88
01_2021011409272760,309,395,351,386,B,0.88
01_2021011409272760,309,395,288,458,B,0.88
01_2021011409272760,351,386,349,429,E,0.86
01_2021011409272760,309,395,349,429,B,0.74
01_2021011409272760,437,243,474,202,E,0.92
01_2021011409272760,437,243,432,176,A,0.52
01_2021011409272760,474,202,432,176,A,0.88
01_2021011409272760,341,504,389,537,E,0.96
01_2021011409272760,343,565,389,537,E,0.96
01_2021011409272760,420,569,389,537,E,0.96
01_2021011409272760,388,484,389,537,E,0.96
01_2021011409272760,258,298,283,340,E,1.0
01_2021011409272760,258,298,304,273,B,0.96
01_2021011409272760,163,582,228,586,B,0.14
01_2021011409272760,163,582,102,568,E,0.06
01_2021011409272760,356,196,402,128,E,0.96
01_2021011409272760,432,176,402,128,E,0.56
01_2021011409272760,356,196,432,176,E,0.7
01_2021011409272760,330,160,356,196,A,0.88
01_2021011409272760,330,160,402,128,A,0.88
01_2021011409272760,437,243,440,291,E,0.92
01_2021011409272760,399,299,440,291,E,0.92
01_2021011409272760,399,299,437,243,E,0.92
01_2021011409272760,477,266,437,243,A,0.7
01_2021011409272760,477,266,474,202,A,0.38
01_2021011409272760,477,266,440,291,A,0.28
01_2021011409272760,369,19,290,17,A,0.84
01_2021011409272760,312,63,369,19,E,0.96
01_2021011409272760,312,63,290,17,A,0.88
01_2021011409272760,439,20,369,19,E,0.92
01_2021011409272760,417,87,439,20,E,0.92
01_2021011409272760,417,87,369,19,E,0.92
01_2021011409272760,474,91,439,20,E,0.92
01_2021011409272760,417,87,474,91,E,0.88
01_2021011409272760,372,83,369,19,E,0.92
01_2021011409272760,372,83,312,63,E,0.92
01_2021011409272760,417,87,372,83,E,0.92
01_2021011409272760,402,128,372,83,E,0.92
01_2021011409272760,402,128,417,87,E,0.92
01_2021011409272760,330,160,372,83,A,0.78
01_2021011409272760,474,91,451,128,E,0.92
01_2021011409272760,474,202,451,128,A,0.86
01_2021011409272760,432,176,451,128,E,0.84
01_2021011409272760,402,128,451,128,E,0.92
01_2021011409272760,417,87,451,128,E,0.92
01_2021011409272760,451,409,472,367,E,1.0
01_2021011409272760,397,439,451,409,A,1.0
01_2021011409272760,451,409,439,467,E,1.0
01_2021011409272760,437,243,405,210,A,0.84
01_2021011409272760,432,176,405,210,E,0.78
01_2021011409272760,356,196,405,210,E,0.78
01_2021011409272760,284,191,356,196,A,0.78
01_2021011409272760,284,191,330,160,B,0.68
01_2021011409272760,330,160,311,109,A,0.38
01_2021011409272760,311,109,372,83,A,0.72
01_2021011409272760,311,109,312,63,A,0.72
01_2021011409272760,241,19,290,17,E,0.88
01_2021011409272760,376,249,437,243,B,0.42
01_2021011409272760,399,299,376,249,A,0.42
01_2021011409272760,376,249,405,210,E,0.92
01_2021011409272760,376,249,356,196,E,0.92
01_2021011409272760,331,321,376,249,A,0.72
01_2021011409272760,304,273,289,234,A,0.96
01_2021011409272760,289,234,284,191,E,0.96
01_2021011409272760,451,409,394,395,B,0.56
01_2021011409272760,397,439,394,395,E,0.92
01_2021011409272760,351,386,394,395,E,0.92
01_2021011409272760,349,429,394,395,E,0.92
01_2021011409272760,374,346,394,395,B,0.56
01_2021011409272760,376,249,331,241,B,0.7
01_2021011409272760,356,196,331,241,B,0.78
01_2021011409272760,284,191,331,241,E,0.92
01_2021011409272760,289,234,331,241,E,0.92
01_2021011409272760,304,273,331,241,A,0.96
01_2021011409272760,331,321,331,241,E,0.92
01_2021011409272760,221,64,241,19,A,0.72
01_2021011409272760,221,64,163,105,E,0.18
01_2021011409273251,448,494,480,532,E,0.96
01_2021011409273251,448,494,376,501,B,1.0
01_2021011409273251,483,26,441,49,E,0.78
01_2021011409273251,449,96,441,49,E,0.78
01_2021011409273251,383,217,386,165,A,0.54
01_2021011409273251,182,485,124,476,E,0.06
01_2021011409273251,428,443,376,501,B,1.0
01_2021011409273251,428,443,448,494,E,1.0
01_2021011409273251,376,501,385,551,B,0.92
01_2021011409273251,124,476,145,434,B,0.5
01_2021011409273251,182,485,145,434,A,0.02
01_2021011409273251,307,291,298,363,E,0.96
01_2021011409273251,307,291,295,250,E,0.6
01_2021011409273251,386,165,456,146,B,0.6
01_2021011409273251,456,146,449,96,A,0.4
01_2021011409273251,175,332,176,252,E,0.4
01_2021011409273251,385,428,428,443,A,1.0
01_2021011409273251,330,526,385,551,B,0.52
01_2021011409273251,376,501,330,526,E,0.92
01_2021011409273251,267,503,330,526,E,0.96
01_2021011409273251,385,428,358,462,E,0.96
01_2021011409273251,376,501,358,462,E,0.96
01_2021011409273251,428,443,358,462,B,1.0
01_2021011409273251,176,252,153,214,E,0.28
01_2021011409281020,275,574,314,519,E,0.92
01_2021011409281020,289,384,251,412,E,0.92
01_2021011409281020,289,384,297,440,E,0.96
01_2021011409281020,251,412,297,440,E,0.6
01_2021011409281020,379,500,400,548,E,0.6
01_2021011409281020,400,548,330,562,E,0.96
01_2021011409281020,379,500,330,562,E,0.6
01_2021011409281020,314,519,330,562,E,0.96
01_2021011409281020,314,519,379,500,E,0.6
01_2021011409281020,275,574,330,562,E,0.96
01_2021011409281020,334,477,379,500,B,0.38
01_2021011409281020,334,477,314,519,E,0.96
01_2021011409281020,343,421,297,440,E,0.92
01_2021011409281020,289,384,343,421,E,0.92
01_2021011409281020,343,421,334,477,E,0.96
01_2021011409281020,334,477,297,440,E,0.96
